percent_male	male_count	femalecount	word
40.77	4008	1031	person
67.33	3375	290	umfrage
47.70	55391	10754	jahren
48.14	3355	640	afghanistan
63.79	5632	566	ehemaligen
47.29	10728	2117	tagen
86.10	15779	451	saison
40.78	2800	720	voller
38.51	7487	2117	all
41.07	4578	1163	unterwegs
0.00	0	1806	display:none;margin-right:10px
42.84	4296	1015	antwort
26.40	6855	3383	leute
26.22	3853	1920	essen
45.81	5113	1071	wort
47.17	4403	873	themen
29.94	1429	592	zimmer
37.59	2300	676	sachen
70.62	4331	319	drittel
67.44	3603	308	pressekonferenz
32.70	1891	689	raus
1.66	237	2488	schalten
44.67	5951	1305	los
91.68	4605	74	provinz
54.54	3768	556	beziehungen
39.81	3153	844	gründen
14.31	8859	9395	merkel
38.84	2787	777	geschafft
48.32	3892	737	einfluss
80.42	8305	358	vergangenheit
65.81	5023	462	niederlage
54.37	3533	525	maßnahmen
72.90	10863	715	beginn
64.36	4324	424	flucht
48.26	3999	759	wirft
68.58	4093	332	joachim
49.74	9357	1674	alten
43.99	7296	1645	früher
50.37	5645	985	zuschauer
33.71	4282	1491	studenten
50.87	3287	562	aussage
26.25	1174	584	liebsten
74.19	10096	622	ausbildung
65.57	3667	341	hollande
70.15	6927	522	schweizer
28.82	5591	2445	sprechen
31.40	4752	1838	augen
56.36	4866	667	plan
65.84	4343	399	zusammenhang
61.51	18491	2049	platz
56.62	4821	654	organisation
56.93	20628	2763	kurz
72.22	10819	737	größten
19.93	2438	1734	erfahren
41.47	2817	704	verändert
40.50	3222	838	meer
56.35	4731	649	zweifel
38.12	5990	1722	twitter
51.25	8545	1439	groß
64.79	6006	578	deutscher
48.58	4680	877	projekt
48.47	5498	1035	sah
31.63	1944	744	maria
97.63	8591	37	redakteur
53.60	5023	770	markt
63.25	4588	472	sender
60.21	10068	1178	november
48.47	10876	2047	monaten
41.89	4140	1017	wahlkampf
23.82	1734	982	bezahlen
47.15	5824	1156	gefahr
56.68	3805	515	athen
52.47	9420	1511	2009
74.54	3522	213	wolfsburg
44.53	8843	1950	spricht
41.92	2474	607	richtigen
84.77	4780	152	tageszeitung
35.99	2356	742	gedacht
51.85	3789	623	bezeichnet
20.37	2769	1916	denken
59.39	11274	1365	märz
26.23	1759	876	sex
35.09	2672	875	steuern
82.56	3664	137	1:0
76.85	5399	288	rest
46.08	4131	856	entdeckt
27.63	1992	924	wirken
43.63	2863	655	büro
32.98	3814	1372	freiheit
29.53	3695	1561	sitzen
77.48	5656	291	tagesspiegel
45.15	7556	1625	länder
30.54	1855	747	beziehung
64.71	3335	322	verkauf
69.25	11728	922	lage
8.93	1403	2533	ausnahme
42.78	2842	673	schwarze
59.26	3270	398	lief
36.63	4361	1336	patienten
53.75	10725	1634	gruppe
23.87	1610	909	gaben
19.88	4864	3471	kind
48.94	4039	746	außer
18.31	743	587	schlafen
57.92	7176	923	sogenannten
65.70	3840	355	uni
44.79	4783	1044	schlecht
55.20	7125	1024	sprach
68.53	6704	545	erdogan
55.51	7138	1013	weltweit
56.22	5382	742	kunst
39.92	3107	828	folgt
35.85	1856	588	gebeten
71.54	3834	270	abstimmung
61.29	3425	383	wichtiger
47.85	3042	587	konsequenzen
53.59	3293	505	syrische
50.79	46459	7971	jahre
69.94	3299	251	meldet
41.68	3177	787	teilweise
63.78	5101	513	rechten
31.25	1515	590	verändern
31.49	3165	1219	firmen
35.46	2448	789	täglich
72.25	3426	233	innenminister
54.36	45237	6726	euro
21.36	2332	1520	kaufen
39.28	3424	937	fallen
55.56	4774	676	geplant
83.77	5071	174	regel
50.94	4176	712	vorgehen
41.04	4341	1104	lebt
64.27	3465	341	nationalen
20.33	1339	929	autorin
71.25	7153	511	münchner
35.68	2754	879	lebens
87.93	5801	141	champions
52.91	5204	820	stunde
64.99	4739	452	stuttgart
53.17	10797	1684	erfolg
39.84	3568	954	kontakt
60.72	5168	592	studierte
34.40	1952	659	versprechen
51.72	4635	766	unklar
69.59	3606	279	vorfall
51.87	3774	620	seehofer
60.20	9124	1068	februar
30.43	1576	638	heißen
67.12	3275	284	guardian
53.40	20273	3132	heißt
53.61	10719	1642	landes
55.86	4938	691	schutz
60.47	5028	582	zeitpunkt
23.40	1142	662	sängerin
42.99	9856	2314	forscher
60.33	4870	567	flughafen
9.47	1117	1891	diskutieren
89.17	10185	219	konzern
57.12	15531	2064	dollar
32.37	3012	1114	ändern
53.49	6555	1009	firma
41.35	2959	743	früh
48.10	7266	1388	staaten
55.73	4529	637	sekunden
63.73	4903	494	türkische
37.96	2851	825	bewusst
66.31	3869	348	chinesischen
57.34	5231	689	israel
87.51	7792	197	faz
69.34	6654	521	öffentlichkeit
71.85	6140	426	insel
16.92	895	778	lieben
83.72	9466	326	region
73.95	4088	255	italienischen
62.73	12974	1365	dienstag
87.45	3580	91	hsv
56.04	3542	492	rücktritt
44.95	3690	800	brief
51.04	3780	642	nannte
47.05	3046	607	geschäft
23.38	1351	784	stellten
61.66	3451	380	rückkehr
48.91	13130	2428	tage
43.18	10958	2553	stunden
55.54	4162	590	toten
41.82	7447	1834	gefunden
46.42	3689	754	kamera
56.01	4157	578	tritt
60.84	3931	448	gespräche
18.42	4603	3610	netz
52.47	3647	585	teilnehmer
60.22	9549	1117	samstag
59.29	3513	427	star
61.52	4326	479	teams
81.93	7351	287	besprochen
43.76	16787	3820	frage
34.38	4713	1593	schaffen
58.34	12204	1543	erklärte
34.26	7846	2666	erzählt
38.78	3402	951	genauso
2.22	293	2285	klicken
40.88	3667	939	sozialen
68.75	8609	693	times
45.91	3926	819	erfolgreich
59.51	13806	1663	sonntag
44.01	15211	3426	stehen
43.72	3514	801	worte
55.92	21758	3037	geschichte
65.06	6540	622	sicht
59.35	5897	715	deutschlands
41.71	3496	865	vertrauen
46.80	5663	1140	bringt
35.27	2403	781	verzichten
45.08	12863	2775	bild
52.99	5648	887	trifft
67.27	7777	670	streit
59.25	5076	618	magazin
70.78	7728	565	krise
40.23	7357	1935	karriere
66.71	5795	512	suche
36.91	2442	739	geschickt
48.20	5523	1051	angeblich
44.35	3394	754	gesprochen
48.68	3482	650	beamten
53.48	3759	579	beendet
67.81	4485	377	paul
58.97	3572	440	starken
59.41	7341	888	straße
46.22	11087	2284	gericht
60.85	10895	1241	scheint
17.52	7858	6551	männer
54.58	11292	1664	juni
69.27	3335	262	justiz
42.46	3297	791	hinzu
67.90	4349	364	daniel
55.08	3927	567	bord
21.02	1745	1161	fürchten
8.73	690	1278	übersicht
19.24	814	605	jungs
51.77	6245	1030	fehler
17.33	1788	1510	erzählen
71.78	5646	393	syrischen
89.90	4173	83	erzielte
23.46	1690	976	leser
81.08	3680	152	iwf
54.40	15004	2227	film
64.35	3476	341	schmidt
38.95	2612	725	1997
63.57	4100	416	zentrum
61.96	3892	423	rahmen
21.03	4438	2951	hause
50.65	13096	2259	könne
26.52	2273	1115	gefragt
82.68	8735	324	nähe
82.55	3873	145	nationalmannschaft
42.31	3744	904	nennt
73.53	4676	298	jürgen
4.47	169	640	sonnigen
87.99	3847	93	küste
32.12	2686	1005	vergessen
75.41	4347	251	nachfolger
46.36	3012	617	energie
27.08	1783	850	aussehen
58.62	3745	468	2018
64.34	5910	580	müller
60.60	11440	1317	juli
45.61	3770	796	gegangen
4.59	163	600	schenk
53.38	4488	694	200
55.07	8785	1269	dezember
62.30	7662	821	dritten
59.00	3560	438	frühen
47.28	3723	735	aktuelle
38.18	4346	1246	gewinnen
52.85	3646	576	bücher
11.27	2060	2873	prüfen
48.05	4889	936	wirkt
83.19	6848	245	schweiz
63.39	4020	411	aktion
49.82	5803	1035	google
59.11	3511	430	schäuble
54.00	10394	1568	müsse
36.27	1880	585	erhöhen
67.50	4820	411	nummer
45.11	3147	678	sprache
33.35	3606	1276	extrem
28.14	1988	899	sterben
12.98	595	706	glaubte
54.42	3608	535	amerikanische
83.42	9290	327	nachrichtenagentur
45.45	4555	968	interesse
31.64	3629	1388	fahren
47.58	5496	1072	erinnert
51.71	21718	3591	große
43.07	18460	4321	lange
71.58	9745	685	peter
39.80	7146	1914	internet
22.06	2254	1410	lernen
61.01	3296	373	museum
55.31	15321	2192	2013
53.15	4453	695	erklärung
50.58	27321	4726	land
39.82	3658	979	aufs
24.91	1098	586	kleidung
22.63	2778	1682	verstehen
56.68	4804	650	betroffen
54.80	4622	675	schwere
41.00	3929	1001	regeln
40.48	2612	680	gutes
45.60	2789	589	möglichkeiten
43.14	7005	1635	chance
74.93	4069	241	presse
68.07	4900	407	liste
0.74	25	592	schlampe
60.93	3637	413	nsa
50.95	6753	1151	abend
35.51	4282	1377	gesicht
33.71	2031	707	taten
59.87	4020	477	2004
52.91	5762	908	sache
64.20	4963	490	fiel
55.03	5757	833	entfernt
49.40	9759	1770	opfer
36.40	8490	2626	kollegen
25.05	3117	1651	hören
44.13	3837	860	fernsehen
0.88	116	2316	rezension
57.28	4597	607	band
22.56	3996	2429	glauben
27.12	3107	1478	warten
47.15	3547	704	großes
66.80	8987	791	martin
35.43	3861	1246	krankenhaus
39.23	6181	1695	sorgen
55.77	5470	768	elf
10.22	2342	3641	antworten
22.24	1029	637	empört
72.54	4745	318	jan
75.41	4381	253	regierungschef
58.39	3583	452	gefordert
56.93	8235	1103	gesellschaft
38.51	3052	863	falsch
7.03	305	714	martina
46.55	4467	908	personen
56.94	3928	526	freien
42.23	5552	1345	musik
10.55	3337	5011	angela
88.71	5634	127	leiter
39.21	6323	1736	führen
40.44	2979	777	rücken
71.34	4597	327	bremen
27.77	1635	753	urlaub
51.04	6512	1106	wichtigsten
64.64	4863	471	anteil
66.17	4695	425	eu-kommission
40.87	3080	789	schneller
50.82	6069	1040	urteil
64.86	4461	428	schauspieler
39.72	5118	1375	laufen
44.89	6808	1480	anschließend
39.23	2330	639	tisch
43.34	9395	2175	interview
15.87	3484	3271	hinweise
43.96	3730	842	programm
69.89	3762	287	markus
47.13	6727	1336	ländern
56.42	4555	623	führte
55.22	6707	963	luft
44.88	3872	842	nachrichten
29.94	2242	929	alltag
31.63	2649	1014	hoffen
68.84	8262	662	führung
49.57	9226	1662	probleme
71.69	11372	795	michael
53.84	7536	1144	artikel
36.01	2778	874	erwarten
66.63	6745	598	armee
62.97	4274	445	brasilien
46.53	3160	643	verhältnis
39.46	3726	1012	tausende
51.10	10818	1833	ließ
33.42	2024	714	felix
19.58	6453	4693	eltern
46.21	5988	1234	journalisten
65.57	3507	326	vierten
44.05	3184	716	sucht
49.31	16577	3017	wochen
52.30	15704	2536	the
35.80	2107	669	arm
32.37	3646	1349	freunde
68.08	4602	382	bund
15.44	1464	1420	schicken
60.11	4273	502	polen
53.20	3749	584	gebäude
53.32	16979	2632	europa
72.41	5380	363	madrid
9.21	427	745	nina
51.02	5890	1001	stellte
62.83	3724	390	ermittelt
56.84	4173	561	künstler
63.43	11001	1123	wahl
10.73	2133	3143	kennen
70.14	8942	674	russischen
42.45	4624	1110	verhindern
43.19	2684	625	weiße
46.69	2948	596	geschlossen
77.97	6937	347	bevölkerung
46.16	16865	3483	unternehmen
26.65	1962	956	gegensatz
43.20	2655	618	jahrelang
48.69	4909	916	getroffen
58.02	17038	2183	milliarden
56.14	10187	1409	frankreich
29.23	2512	1077	bieten
61.06	6891	778	spiele
27.28	2570	1213	fanden
60.08	6910	813	höhe
41.00	2696	687	handeln
24.66	1089	589	töten
34.25	2080	707	entwickeln
70.80	4095	299	rang
63.34	3738	383	tsipras
56.00	4255	592	punkt
65.42	8196	767	putin
47.60	3730	727	geraten
42.89	2901	684	filme
84.77	4088	130	ddr
46.12	8740	1808	monate
50.89	11482	1962	2016
63.54	5532	562	reihe
67.14	15933	1381	bayern
65.76	15305	1411	stand
61.36	3920	437	metern
21.72	3195	2039	versuchen
65.61	7401	687	koalition
57.36	4407	580	schulz
58.07	9349	1195	politischen
28.86	5588	2439	fotos
40.76	3276	843	schwarzen
81.86	7135	280	verein
35.26	3811	1239	gelten
55.44	6197	882	angekündigt
6.27	251	664	paula
68.47	58273	4752	deutschen
41.47	9453	2362	haus
54.95	35580	5165	berlin
53.70	12262	1872	minuten
52.65	9289	1479	stellt
52.85	7811	1234	verletzt
65.54	11495	1070	sieg
64.65	4349	421	sorgt
62.47	6467	688	debatte
4.53	993	3704	einestages
55.36	15180	2167	anfang
41.93	2394	587	preise
25.58	3249	1674	handy
52.11	4062	661	norden
35.53	2583	830	behandelt
59.78	5214	621	handelt
28.54	1622	719	telefon
39.38	2715	740	unterschied
58.42	14826	1868	freitag
67.79	12362	1040	union
54.47	10278	1521	kampf
56.90	3505	470	widerstand
48.48	4464	840	ohnehin
41.55	3120	777	verschiedenen
71.86	4254	295	sebastian
64.77	19535	1881	zweiten
37.54	3153	929	hunderte
48.12	7799	1489	mittlerweile
40.49	2417	629	genutzt
69.01	5837	464	erde
32.54	2128	781	hände
65.21	3292	311	kommission
43.36	4025	931	komplett
54.30	4832	720	position
64.72	4206	406	griechischen
52.94	10610	1670	syrien
29.30	1664	711	verschwinden
83.37	6398	226	1999
81.04	3718	154	stationen
37.85	6656	1935	video
21.94	1151	725	hielten
50.44	11014	1916	hält
60.62	5990	689	angriff
42.34	5370	1295	osten
57.88	8709	1122	hand
64.77	9232	889	staatsanwaltschaft
27.46	1569	734	schlagen
30.80	1983	789	leiden
37.50	2037	601	videos
51.63	11183	1855	gehört
27.08	3847	1834	lieber
62.79	3831	402	behörde
34.03	3021	1037	schön
49.68	11479	2059	mai
60.83	13234	1509	york
53.92	5988	906	solle
78.94	7175	339	frankfurter
61.93	5099	555	szene
63.78	4347	437	untersuchung
43.79	5750	1307	autos
75.09	4051	238	republik
42.25	5161	1249	länger
22.85	1139	681	ältere
27.45	2410	1128	clinton
56.17	4089	565	finale
90.55	10278	190	league
27.66	1350	625	gelernt
65.30	4433	417	österreich
20.59	11285	7706	kinder
55.73	9031	1270	paris
51.98	7429	1215	gewonnen
53.35	6458	1000	experten
47.93	7732	1487	politische
55.02	9671	1400	druck
42.62	2937	700	einzelnen
36.70	3268	998	geschrieben
78.32	6099	299	premier
32.24	1991	741	gesundheit
43.54	10424	2393	schwer
66.02	3841	350	leipzig
62.13	10109	1091	griechenland
66.95	6648	581	john
31.93	5168	1951	helfen
58.37	5235	661	iran
100.00	3536	0	leyen
61.31	20750	2318	new
35.50	2627	845	frühjahr
26.69	1254	610	nachts
51.63	7741	1284	2007
18.48	3545	2768	bedeutung
47.43	7577	1487	fans
77.13	5296	278	ausstellung
48.06	9083	1738	facebook
58.57	7201	902	zeigte
45.88	3002	627	gemeinsamen
28.10	2412	1093	werfen
57.64	6840	890	brüssel
50.94	4574	780	entwickelt
33.68	7371	2570	verloren
66.60	4291	381	mitteilte
46.43	8829	1804	auto
49.51	6473	1169	situation
46.92	4073	816	gäste
44.60	5546	1220	moment
48.41	4664	880	publikum
44.81	6347	1384	polizisten
44.32	3385	753	funktioniert
43.20	8146	1896	daten
38.87	3408	949	kennt
41.47	5090	1272	weise
31.60	2275	872	ständig
76.88	15570	829	türkei
70.25	10401	780	hamburger
70.00	6878	522	ministerpräsident
39.43	4074	1108	waffen
45.94	2913	607	volk
29.19	6378	2739	angst
46.75	3029	611	haltung
85.58	9382	280	taz
67.13	5618	487	türkischen
28.43	1503	670	studiert
59.21	5469	667	csu
2.66	554	3590	none
65.05	6864	653	russische
55.31	3725	533	umgang
39.48	3231	877	mark
52.84	3348	529	technik
62.95	3521	367	berichte
42.34	2459	593	gefährlich
60.31	10117	1179	bank
17.42	8294	6964	wissen
67.35	5195	446	punkten
0.00	0	1807	margin-left:10px
72.03	12117	833	thomas
65.03	3330	317	christoph
89.30	3347	71	axel
86.67	3965	108	politikwissenschaft
23.57	2439	1400	familien
83.93	3716	126	kapitän
97.95	8622	32	journalistenschule
55.79	3592	504	fehlt
38.69	9287	2606	zahlen
55.39	5015	715	hielt
65.47	5236	489	bühne
45.21	4478	961	chancen
59.06	18094	2221	partei
34.48	4746	1597	erreichen
50.57	5085	880	sogenannte
25.21	1188	624	verlangen
16.53	791	707	traurig
36.92	2330	705	schulen
14.08	817	883	fremden
51.71	49759	8226	jahr
54.79	31661	4626	deutsche
72.78	3609	239	matthias
32.19	1721	642	bildern
42.48	2665	639	erfahrung
34.05	1735	595	williams
17.27	868	736	anne
59.89	3551	421	sanktionen
58.96	3652	450	steckt
75.93	3724	209	klaus
54.06	3450	519	gesamte
62.49	5457	580	amerikanischen
72.29	4375	297	russlands
29.05	6202	2682	kunden
46.95	4293	859	stärker
48.29	3297	625	legt
43.84	3077	698	klingt
50.03	7723	1366	ergebnis
67.07	3255	283	befindet
9.01	379	678	vorliebe
13.06	1599	1884	männern
50.79	6004	1030	wochenende
27.43	3373	1580	reden
49.94	16365	2904	zeigt
3.56	424	2031	10px
27.26	7789	3680	sicherheit
2.74	413	2597	browser
45.13	2903	625	zweimal
86.20	3352	95	vfl
53.09	18317	2866	zuvor
50.75	4842	832	parteien
32.86	2214	801	feiern
14.10	1153	1244	bett
41.90	9712	2384	namen
49.80	6964	1243	beste
63.64	3302	334	george
63.16	7912	817	wirtschaft
65.46	7834	732	britischen
74.43	7955	484	tor
60.16	6133	719	roman
74.62	5281	318	bestätigte
52.83	50910	8048	deutschland
58.52	5824	731	spanien
48.72	3627	676	angebot
49.01	3529	650	500
31.68	1930	737	produkte
58.40	6058	764	gabriel
53.76	4432	675	haft
42.88	17230	4064	tag
58.75	12845	1597	entscheidung
44.42	7196	1594	gewalt
31.81	1947	739	zeigten
46.30	3136	644	betont
51.49	4149	692	kurs
66.52	4714	420	jüngsten
65.96	3742	342	gesamten
37.10	2165	650	herz
43.61	2669	611	ziele
40.57	2568	666	arbeitgeber
72.08	3733	256	mario
72.76	7166	475	linken
27.59	1823	847	bewegen
49.26	3366	614	zugang
48.66	10324	1929	zukunft
54.56	9570	1411	jahres
50.00	3586	635	schuld
77.67	15853	807	zahl
0.94	995	18587	android
54.74	8019	1174	august
27.80	1855	853	häuser
51.42	7980	1335	politiker
39.51	4468	1211	verhalten
63.31	5281	542	hintergrund
52.36	3899	628	verlor
73.51	4703	300	2002
29.02	1434	621	versuchten
31.64	1788	684	fliegen
73.48	23768	1519	zeitung
51.45	10122	1691	folgen
44.48	3140	694	hart
53.93	8627	1305	fotostrecke
45.32	2743	586	wähler
93.02	6550	87	university
74.16	5834	360	vertreter
10.36	687	1052	testen
67.78	8460	712	frankfurt
54.75	3745	548	fälle
41.57	7096	1766	alter
47.09	36680	7296	zeit
44.91	3365	731	menge
41.10	2889	733	besucht
77.57	9570	490	hälfte
35.65	1981	633	smartphone
28.87	3599	1570	erklären
0.00	0	1806	div.thumbsmall{margin-right:20px
88.75	5344	120	bundesliga
38.74	4465	1250	foto
47.83	3563	688	hinaus
41.13	4676	1185	bereit
39.66	4113	1108	ernst
0.00	0	1625	fussballapp_108265.mobile
38.31	2234	637	anspruch
63.69	15495	1564	russland
25.09	1228	649	besuchen
58.71	20847	2596	teil
49.38	4204	763	weißen
52.53	3637	582	bewegung
33.50	1815	638	jugendliche
11.08	1324	1881	verfolgen
59.74	3763	449	düsseldorf
78.15	5475	271	barcelona
56.94	3466	464	reaktion
49.68	6263	1123	erreicht
53.67	5555	849	kritisiert
53.47	7452	1148	jahrgang
2.11	434	3560	img
52.08	10145	1653	var
67.32	10296	885	mannschaft
33.08	1692	606	glücklich
46.33	6059	1243	schule
66.93	5429	475	frank
54.20	10319	1544	meter
4.34	225	878	aktivieren
48.32	3596	681	linke
71.71	19339	1351	münchen
26.15	1324	662	sahen
61.41	13079	1455	mittwoch
44.63	3524	774	verfügung
61.34	4651	519	hannover
58.10	3414	436	saß
67.29	43961	3783	welt
50.82	6110	1047	richtung
60.80	3548	405	san
37.86	2144	623	interessiert
64.01	13282	1322	kritik
19.59	985	716	strich
44.74	4326	946	ergebnisse
71.95	6011	415	us-präsident
45.75	7453	1565	liegen
54.68	13785	2023	ging
73.52	5238	334	city
73.27	3406	220	financial
48.04	3504	671	arzt
45.42	3920	834	möglichkeit
37.70	4782	1399	nutzer
14.27	709	754	wussten
59.40	3330	403	peking
30.59	5738	2305	offen
59.22	14617	1782	2011
43.17	12534	2922	familie
86.61	4639	127	nationalspieler
55.38	3329	475	zeichen
1.94	1739	15542	holen
55.19	33102	4759	usa
67.68	7417	627	entwicklung
41.96	3892	953	2001
71.09	7013	505	dortmund
77.33	3621	188	weltmeister
37.67	4829	1415	heimat
73.95	6173	385	minute
69.06	33073	2623	hamburg
18.84	859	655	franken
69.55	6011	466	wolfgang
43.96	3588	810	straßen
23.00	1895	1123	verkaufen
57.41	7492	984	einzige
64.36	12556	1231	staat
51.34	7585	1273	grünen
31.72	1829	697	nachbarn
48.46	12656	2383	schreibt
48.52	4339	815	irak
33.98	6992	2405	gemeinsam
63.72	22906	2309	angaben
67.57	3589	305	philipp
47.86	3385	653	aufgenommen
56.28	4028	554	gespielt
58.66	9655	1205	oktober
75.01	6222	367	außenminister
20.31	1637	1137	redakteurin
64.16	7745	766	nahe
36.61	2091	641	mannes
52.85	4413	697	lösung
60.11	26727	3141	polizei
51.83	5414	891	robert
82.08	5458	211	borussia
35.10	1937	634	jobs
45.50	4169	884	daraufhin
44.20	4335	969	reise
56.52	5903	804	köln
67.83	7133	599	2006
21.45	2371	1537	nennen
62.46	3984	424	republikaner
44.81	2779	606	wirkung
71.80	17936	1247	berliner
18.64	1443	1115	verdienen
86.10	5072	145	klub
48.30	3598	682	gesetzt
